tipo_celular,module_size,ELAVL4_MM,ELAVL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.082,3.0,353,51,14.45,2.84 (2.38-3.30),302,85.55,4.13 (3.94-4.32),13.57,7.13
GABA neurons expressing GLU receptors 22,192.0,0.053,4.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,1247.0,0.226,90.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200.0,0.212,61.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,266.0,0.202,72.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11),2.57,4.00
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.041,2.0,306,14,4.58,2.69 (1.27-4.10),292,95.42,5.21 (4.96-5.47),14.60,6.33
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.086,60.0,276,41,14.86,2.51 (2.05-2.96),235,85.14,3.79 (3.55-4.02),6.51,4.87
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.173,84.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,70.0,0.332,54.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
