tipo_celular,module_size,PRKCSH_MM,PRKCSH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,1069.0,0.106,11.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.072,6.0,302,5,1.66,3.30 (1.25-5.36),297,98.34,4.00 (3.77-4.22),5.71,10.74
oligodendrocytes 20,938.0,0.213,84.0,169,6,3.55,1.74 (0.49-2.99),163,96.45,3.55 (3.33-3.76),6.59,5.32
GABA like neurons 14,2402.0,0.163,29.0,455,21,4.62,1.70 (1.02-2.39),434,95.38,4.51 (4.34-4.69),25.69,8.02
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.102,44.0,129,1,0.78,6.60 (NA-NA),128,99.22,3.40 (3.01-3.79),1.96,19.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,151.0,0.191,48.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,94.0,0.415,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.099,11.0,252,19,7.54,1.64 (0.92-2.37),233,92.46,4.35 (4.11-4.58),11.08,7.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.045,2.0,154,1,0.65,6.60 (NA-NA),153,99.35,3.59 (3.28-3.91),5.03,11.88
oligodendrocytes 2,526.0,0.209,32.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
