tipo_celular,module_size,PRDM11_MM,PRDM11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.371,97.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56),2.67,1.74
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.113,46.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,49,13.88,2.03 (1.73-2.33),304,86.12,4.29 (4.11-4.47),18.42,6.39
GABA neurons expressing GLU receptors 22,1069.0,0.159,46.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.115,41.0,297,2,0.67,3.05 (2.81-3.30),295,99.33,3.68 (3.47-3.88),7.82,5.50
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.082,6.0,306,19,6.21,2.31 (1.80-2.81),287,93.79,5.36 (5.11-5.61),5.94,6.76
astrocytes 8,1266.0,0.022,1.0,66,18,27.27,1.96 (1.34-2.58),48,72.73,3.81 (3.37-4.25),3.44,2.77
oligodendrocyte progenitor cells 12,218.0,0.041,10.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.06,34.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.316,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.143,46.0,104,16,15.38,1.29 (1.00-1.59),88,84.62,3.18 (2.89-3.46),9.70,4.61
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.199,65.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79),4.15,4.21
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
