tipo_celular,module_size,TBC1D2_MM,TBC1D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.156,42.0,127,7,5.51,3.53 (2.29-4.77),120,94.49,3.86 (3.50-4.21),3.87,5.95
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.114,20.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.03,3.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.098,43.0,25,2,8.0,5.16 (5.16-5.16),23,92.0,2.63 (1.61-3.64),2.11,2.57
oligodendrocytes 10,2107.0,0.065,12.0,358,21,5.87,2.29 (1.54-3.03),337,94.13,4.00 (3.80-4.19),38.26,7.68
connective tissue cells 21,111.0,0.309,65.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,151.0,0.21,60.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,109.0,0.388,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.18,81.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83),2.64,2.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.173,88.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,131.0,0.162,36.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
