tipo_celular,module_size,RPL11_MM,RPL11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.552,97.0,98,45,45.92,3.33 (2.72-3.95),53,54.08,3.10 (2.40-3.81),22.34,5.91
T cells 18,506.0,0.516,95.0,225,57,25.33,3.53 (3.04-4.03),168,74.67,3.64 (3.35-3.93),17.36,4.69
astrocytes 5,328.0,0.43,96.0,128,16,12.5,4.10 (3.50-4.71),112,87.5,3.49 (3.11-3.87),13.38,5.82
oligodendrocyte progenitor cells 7,448.0,0.451,99.0,108,18,16.67,4.53 (3.62-5.44),90,83.33,3.01 (2.54-3.49),21.89,16.17
GABA neurons expressing GLU receptors 22,487.0,0.581,100.0,73,19,26.03,2.99 (2.30-3.69),54,73.97,2.67 (2.21-3.13),11.87,5.73
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.155,40.0,410,71,17.32,3.95 (3.62-4.28),339,82.68,4.32 (4.10-4.53),10.97,6.79
GABA neurons expressing GABA receptors 13,417.0,0.187,65.0,213,77,36.15,3.04 (2.62-3.46),136,63.85,4.16 (3.88-4.44),9.33,9.89
endothelial cells 9,916.0,0.635,99.0,302,28,9.27,4.35 (3.50-5.20),274,90.73,3.94 (3.71-4.17),20.33,9.66
oligodendrocytes 20,938.0,0.307,95.0,169,56,33.14,3.74 (3.36-4.12),113,66.86,3.36 (3.09-3.63),8.34,3.89
GABA like neurons 14,2402.0,0.507,89.0,455,104,22.86,3.76 (3.35-4.16),351,77.14,4.56 (4.36-4.76),15.26,6.93
astrocytes 8,603.0,0.227,92.0,89,22,24.72,2.65 (2.09-3.21),67,75.28,2.81 (2.37-3.26),8.94,5.09
oligodendrocyte progenitor cells 12,1049.0,0.565,100.0,235,43,18.3,4.56 (3.99-5.13),192,81.7,3.68 (3.44-3.93),13.80,6.23
oligodendrocytes 10,483.0,0.541,99.0,129,26,20.16,4.50 (3.89-5.11),103,79.84,3.16 (2.71-3.60),26.04,17.46
connective tissue cells 21,301.0,0.559,88.0,158,40,25.32,3.85 (3.21-4.48),118,74.68,4.41 (3.96-4.85),15.41,4.24
astrocytes 15,458.0,0.077,39.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01),2.22,2.63
oligodendrocytes 16,96.0,0.297,78.0,102,46,45.1,2.74 (2.21-3.27),56,54.9,3.83 (3.46-4.20),12.36,3.81
da neurons 6,729.0,0.196,71.0,182,35,19.23,3.66 (2.97-4.34),147,80.77,3.63 (3.36-3.90),17.36,6.42
astrocytes microglia 23,137.0,0.415,68.0,188,46,24.47,2.74 (2.23-3.24),142,75.53,5.03 (4.67-5.38),18.17,3.57
astrocytes 4,208.0,0.213,61.0,173,15,8.67,4.10 (3.51-4.70),158,91.33,3.75 (3.42-4.08),10.66,5.14
oligodendrocytes 0,546.0,0.344,95.0,252,90,35.71,3.71 (3.24-4.18),162,64.29,4.33 (4.06-4.60),13.58,5.23
microglia 1,406.0,0.628,99.0,278,27,9.71,4.69 (4.06-5.33),251,90.29,4.32 (4.03-4.62),21.34,5.17
oligodendrocytes 3,303.0,0.295,96.0,154,23,14.94,4.88 (4.04-5.72),131,85.06,3.43 (3.10-3.76),30.06,8.64
oligodendrocytes 2,526.0,0.5,93.0,213,33,15.49,5.47 (4.76-6.17),180,84.51,3.74 (3.46-4.01),16.02,6.46
