tipo_celular,module_size,SFI1_MM,SFI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.194,85.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932.0,0.104,43.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.216,68.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1247.0,0.222,89.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.171,73.0,133,1,0.75,3.52 (NA-NA),132,99.25,3.25 (2.94-3.57),6.58,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.278,97.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.059,25.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65),NA,2.95
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.083,45.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.273,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.16,78.0,104,0,0.0,NA,104,100.0,2.86 (2.58-3.14),NA,5.40
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
