tipo_celular,module_size,QRSL1_MM,QRSL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.251,74.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.1,25.0,136,6,4.41,2.75 (1.24-4.26),130,95.59,3.23 (2.96-3.51),6.24,4.93
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,26,7.37,1.51 (1.02-2.00),327,92.63,4.14 (3.97-4.31),30.65,6.27
GABA neurons expressing GLU receptors 22,400.0,0.328,92.0,24,9,37.5,0.85 (0.44-1.26),15,62.5,2.94 (2.52-3.36),5.33,2.53
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.078,31.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.09,12.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66),2.69,8.66
astrocytes 8,262.0,0.123,43.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,18,6.52,1.71 (1.24-2.19),258,93.48,3.71 (3.49-3.93),11.55,4.66
oligodendrocytes 10,2107.0,0.046,5.0,358,25,6.98,1.50 (0.99-2.00),333,93.02,4.11 (3.93-4.29),31.18,7.84
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.187,74.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,64.0,0.312,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.355,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.167,87.0,104,18,17.31,1.37 (1.06-1.68),86,82.69,3.21 (2.92-3.50),10.41,4.35
oligodendrocytes 0,2078.0,0.121,65.0,238,6,2.52,3.29 (1.52-5.05),232,97.48,3.65 (3.43-3.87),8.90,4.92
microglia 1,813.0,0.085,12.0,79,5,6.33,4.70 (3.75-5.65),74,93.67,2.98 (2.57-3.40),4.37,8.14
oligodendrocytes 3,854.0,0.092,53.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.147,62.0,154,3,1.95,3.25 (1.29-5.20),151,98.05,3.24 (2.98-3.51),3.61,3.59
