tipo_celular,module_size,VSIG10_MM,VSIG10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.103,42.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.087,4.0,353,3,0.85,0.90 (-0.14-1.94),350,99.15,3.92 (3.74-4.11),15.88,8.00
GABA neurons expressing GLU receptors 22,599.0,0.219,56.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.068,6.0,42,1,2.38,4.26 (NA-NA),41,97.62,6.05 (5.49-6.62),3.31,3.21
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.038,14.0,110,4,3.64,4.14 (3.51-4.77),106,96.36,5.04 (4.57-5.51),4.32,3.49
GABA like neurons 14,2090.0,0.142,41.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.155,66.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47),1.75,2.20
oligodendrocyte progenitor cells 12,3303.0,0.097,71.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78),11.02,5.07
oligodendrocytes 10,2107.0,0.086,21.0,358,3,0.84,0.90 (-0.14-1.94),355,99.16,3.89 (3.70-4.08),10.84,9.46
connective tissue cells 21,139.0,0.478,100.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,367.0,0.201,83.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,91.0,0.262,88.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.363,83.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,721.0,0.144,35.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.1,7.0,40,1,2.5,4.70 (NA-NA),39,97.5,5.90 (5.37-6.43),3.65,3.46
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.057,13.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,1630.0,0.089,1.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
