tipo_celular,module_size,KCNH8_MM,KCNH8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.107,35.0,219,16,7.31,3.57 (3.28-3.86),203,92.69,5.41 (5.11-5.72),2.20,4.80
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.599,99.0,91,1,1.1,0.21 (NA-NA),90,98.9,4.60 (4.09-5.12),2.04,3.07
da like neurons 11,191.0,0.247,45.0,93,6,6.45,2.85 (2.06-3.64),87,93.55,5.91 (5.54-6.29),3.23,4.20
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.605,89.0,110,1,0.91,0.79 (NA-NA),109,99.09,5.05 (4.61-5.49),4.12,3.52
GABA like neurons 14,3052.0,0.074,6.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.226,34.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,204.0,0.473,62.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,287.0,0.118,6.0,105,3,2.86,1.95 (0.80-3.10),102,97.14,5.21 (4.78-5.65),4.54,3.44
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.315,98.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.249,63.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,348.0,0.44,97.0,114,3,2.63,2.66 (2.39-2.94),111,97.37,5.21 (4.80-5.62),3.50,4.42
