tipo_celular,module_size,SRPRB_MM,SRPRB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.104,12.0,353,27,7.65,2.20 (1.67-2.74),326,92.35,4.07 (3.89-4.26),21.98,6.91
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.168,46.0,410,35,8.54,4.31 (3.72-4.89),375,91.46,4.24 (4.04-4.44),7.96,7.47
GABA neurons expressing GABA receptors 13,90.0,0.198,77.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.064,20.0,169,11,6.51,2.68 (1.99-3.36),158,93.49,3.55 (3.32-3.78),3.53,5.49
GABA like neurons 14,3052.0,0.173,78.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67),4.32,8.65
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.056,21.0,276,13,4.71,2.83 (2.15-3.51),263,95.29,3.59 (3.36-3.81),6.43,5.04
oligodendrocytes 10,806.0,0.117,33.0,261,25,9.58,3.97 (3.35-4.59),236,90.42,4.42 (4.16-4.68),5.62,6.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,85.0,0.24,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.086,34.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,114.0,0.426,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.098,19.0,238,3,1.26,2.25 (-0.22-4.71),235,98.74,3.66 (3.44-3.88),7.12,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.062,16.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
