tipo_celular,module_size,SHISA4_MM,SHISA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.166,51.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86.0,0.208,80.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.118,21.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.185,82.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735.0,0.104,56.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.189,57.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,729.0,0.063,4.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.147,36.0,252,2,0.79,1.25 (-0.12-2.62),250,99.21,4.12 (3.87-4.37),10.71,8.19
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.068,29.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.199,29.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
