tipo_celular,module_size,TUBA4A_MM,TUBA4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.184,60.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.331,82.0,262,26,9.92,2.75 (2.16-3.34),236,90.08,4.32 (4.06-4.57),7.16,3.77
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.451,96.0,410,24,5.85,3.40 (2.72-4.08),386,94.15,4.29 (4.10-4.49),10.54,7.33
GABA neurons expressing GABA receptors 13,357.0,0.226,75.0,237,9,3.8,2.85 (2.09-3.62),228,96.2,4.48 (4.25-4.72),3.06,4.23
endothelial cells 9,338.0,0.281,85.0,191,4,2.09,4.55 (2.94-6.16),187,97.91,3.87 (3.64-4.09),3.62,9.28
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.674,98.0,455,23,5.05,2.12 (1.33-2.90),432,94.95,4.45 (4.26-4.63),21.65,8.15
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.29,93.0,235,12,5.11,3.48 (2.38-4.58),223,94.89,4.00 (3.75-4.26),3.85,4.45
astrocytes microglia 23,111.0,0.319,47.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
