tipo_celular,module_size,OTUD7B_MM,OTUD7B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.223,63.0,68,4,5.88,1.17 (0.63-1.72),64,94.12,4.64 (4.10-5.17),2.85,3.34
astrocytes 5,423.0,0.117,26.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,59,16.71,2.23 (1.93-2.54),294,83.29,4.31 (4.13-4.49),17.88,6.09
GABA neurons expressing GLU receptors 22,823.0,0.142,27.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,637.0,0.182,59.0,91,10,10.99,1.13 (0.42-1.84),81,89.01,5.13 (4.69-5.58),3.33,3.03
da like neurons 11,408.0,0.19,55.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.171,39.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,348.0,0.089,41.0,33,5,15.15,3.15 (2.85-3.45),28,84.85,2.65 (2.07-3.23),3.07,3.44
GABA like neurons 14,3052.0,0.099,17.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68),3.38,8.70
astrocytes 8,577.0,0.11,65.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83),2.58,4.62
oligodendrocyte progenitor cells 12,708.0,0.139,62.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,130.0,0.234,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,100.0,0.256,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.134,83.0,96,7,7.29,4.04 (2.39-5.68),89,92.71,3.58 (3.11-4.05),2.45,3.90
oligodendrocytes 16,113.0,0.161,38.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.23,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.136,20.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186.0,0.149,58.0,300,17,5.67,3.92 (3.56-4.28),283,94.33,3.78 (3.56-4.00),5.38,4.08
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.154,83.0,127,2,1.57,NA,125,98.43,3.12 (2.79-3.45),3.28,4.25
oligodendrocytes 2,804.0,0.203,91.0,84,9,10.71,2.41 (1.48-3.34),75,89.29,2.73 (2.37-3.09),3.99,3.32
