tipo_celular,module_size,PAK3_MM,PAK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.116,20.0,266,15,5.64,3.24 (2.13-4.34),251,94.36,4.18 (3.97-4.39),4.07,5.03
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,20,5.67,2.60 (2.00-3.20),333,94.33,3.99 (3.80-4.18),15.78,7.60
GABA neurons expressing GLU receptors 22,459.0,0.227,74.0,165,22,13.33,3.35 (2.50-4.19),143,86.67,5.43 (5.09-5.77),5.15,3.93
GLU like neurons 17,795.0,0.142,55.0,80,8,10.0,4.01 (2.84-5.18),72,90.0,5.88 (5.47-6.29),3.07,3.01
da like neurons 11,209.0,0.174,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200.0,0.209,83.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82),1.55,3.55
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.156,25.0,306,78,25.49,4.34 (3.86-4.83),228,74.51,5.46 (5.17-5.76),10.69,5.34
astrocytes 8,520.0,0.09,36.0,288,8,2.78,3.31 (1.78-4.84),280,97.22,4.20 (4.01-4.40),3.01,4.73
oligodendrocyte progenitor cells 12,3303.0,0.177,100.0,276,15,5.43,3.05 (2.33-3.77),261,94.57,3.58 (3.35-3.81),6.60,5.02
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,82.0,0.278,60.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.03,3.0,96,18,18.75,4.67 (3.93-5.41),78,81.25,3.30 (2.78-3.82),3.13,3.95
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.196,95.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,125.0,0.334,60.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,201.0,0.246,87.0,18,10,55.56,3.81 (2.64-4.98),8,44.44,5.47 (4.41-6.53),2.58,3.74
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
