tipo_celular,module_size,MKRN1_MM,MKRN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.107,15.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,506.0,0.089,7.0,225,3,1.33,1.11 (0.53-1.69),222,98.67,3.66 (3.41-3.91),12.82,7.84
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.086,4.0,353,29,8.22,2.37 (1.75-2.99),324,91.78,4.03 (3.84-4.22),19.01,7.08
GABA neurons expressing GLU receptors 22,714.0,0.183,52.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,1247.0,0.042,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.124,27.0,410,6,1.46,3.03 (1.80-4.27),404,98.54,4.27 (4.08-4.46),10.51,7.47
GABA neurons expressing GABA receptors 13,65.0,0.189,63.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,338.0,0.065,9.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,228.0,0.313,85.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2402.0,0.212,45.0,455,14,3.08,2.20 (1.27-3.12),441,96.92,4.44 (4.25-4.62),20.37,8.47
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.024,1.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,735.0,0.126,66.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111.0,0.428,99.0,26,8,30.77,2.92 (2.29-3.55),18,69.23,2.45 (1.69-3.22),2.49,2.03
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,85.0,0.3,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.063,4.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90),3.41,8.55
astrocytes microglia 23,62.0,0.27,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.101,23.0,238,15,6.3,3.33 (2.49-4.16),223,93.7,3.65 (3.43-3.88),5.84,4.97
microglia 1,1615.0,0.073,5.0,161,27,16.77,2.35 (1.68-3.02),134,83.23,3.45 (3.16-3.73),7.51,5.01
oligodendrocytes 3,743.0,0.032,1.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.157,81.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
