tipo_celular,module_size,PPP2R5C_MM,PPP2R5C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.122,19.0,102,27,26.47,2.71 (2.22-3.20),75,73.53,3.80 (3.36-4.25),4.08,2.65
T cells 18,518,0.317,99.0,131,4,3.05,3.51 (2.45-4.58),127,96.95,3.06 (2.78-3.34),2.42,4.83
astrocytes 5,156,0.099,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285,0.156,80.0,353,47,13.31,2.23 (1.88-2.58),306,86.69,4.24 (4.05-4.42),25.29,5.42
GABA neurons expressing GLU receptors 22,400,0.234,70.0,24,11,45.83,1.48 (0.67-2.29),13,54.17,2.73 (2.25-3.21),5.01,2.37
GLU like neurons 17,1316,0.091,20.0,101,3,2.97,3.17 (2.28-4.06),98,97.03,3.05 (2.69-3.41),3.44,3.04
da like neurons 11,77,0.11,18.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,288,0.128,25.0,93,6,6.45,2.23 (0.98-3.49),87,93.55,5.42 (4.94-5.89),2.39,4.06
endothelial cells 9,1653,0.156,71.0,297,17,5.72,3.55 (3.20-3.90),280,94.28,3.68 (3.47-3.90),5.32,5.53
oligodendrocytes 20,403,0.286,91.0,18,12,66.67,1.30 (0.68-1.91),6,33.33,3.03 (1.82-4.25),4.19,3.00
GABA like neurons 14,1300,0.206,51.0,306,18,5.88,2.37 (1.83-2.91),288,94.12,5.35 (5.10-5.61),4.89,6.82
astrocytes 8,1266,0.073,41.0,66,20,30.3,1.97 (1.39-2.54),46,69.7,3.91 (3.47-4.34),3.95,2.52
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,38,13.77,2.43 (2.07-2.80),238,86.23,3.79 (3.55-4.02),12.39,3.95
oligodendrocytes 10,2107,0.141,48.0,358,60,16.76,2.44 (2.10-2.78),298,83.24,4.28 (4.08-4.47),22.53,6.84
connective tissue cells 21,111,0.258,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.056,19.0,105,31,29.52,2.40 (1.98-2.82),74,70.48,3.60 (3.17-4.02),6.85,2.78
oligodendrocytes 16,90,0.24,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.136,55.0,124,3,2.42,2.87 (0.45-5.30),121,97.58,4.23 (3.83-4.63),2.67,3.04
astrocytes microglia 23,253,0.329,91.0,47,2,4.26,2.41 (-0.47-5.28),45,95.74,2.87 (2.54-3.20),2.04,3.13
astrocytes 4,752,0.121,11.0,96,5,5.21,2.31 (1.69-2.94),91,94.79,3.36 (3.01-3.70),2.35,4.43
oligodendrocytes 0,1186,0.18,93.0,300,18,6.0,4.04 (3.58-4.51),282,94.0,3.77 (3.55-3.99),3.43,4.20
microglia 1,480,0.117,11.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02),5.13,5.17
oligodendrocytes 3,1003,0.096,51.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.166,66.0,84,14,16.67,2.82 (2.05-3.58),70,83.33,2.65 (2.28-3.03),3.59,3.36
