tipo_celular,module_size,DENND4C_MM,DENND4C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.282,95.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610.0,0.16,58.0,98,12,12.24,1.69 (0.81-2.56),86,87.76,3.34 (3.03-3.66),8.12,3.47
astrocytes 5,1141.0,0.124,38.0,166,5,3.01,2.93 (0.80-5.05),161,96.99,3.41 (3.16-3.66),4.70,4.54
oligodendrocyte progenitor cells 7,4285.0,0.182,98.0,353,17,4.82,2.24 (1.42-3.07),336,95.18,4.00 (3.81-4.18),30.32,6.94
GABA neurons expressing GLU receptors 22,823.0,0.181,51.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.141,66.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,94.0,0.399,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.24,63.0,120,26,21.67,3.64 (3.03-4.24),94,78.33,4.89 (4.55-5.24),4.87,3.32
oligodendrocytes 20,403.0,0.252,88.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,2090.0,0.109,19.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.055,23.0,83,4,4.82,4.28 (1.74-6.82),79,95.18,3.19 (2.74-3.64),1.81,4.61
oligodendrocyte progenitor cells 12,3303.0,0.113,85.0,276,5,1.81,1.89 (1.02-2.76),271,98.19,3.58 (3.36-3.80),4.70,5.12
oligodendrocytes 10,2107.0,0.327,92.0,358,20,5.59,2.11 (1.33-2.90),338,94.41,3.99 (3.81-4.18),22.19,8.72
connective tissue cells 21,111.0,0.202,9.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,1768.0,0.089,52.0,105,5,4.76,2.43 (1.22-3.65),100,95.24,3.25 (2.91-3.60),3.68,3.99
oligodendrocytes 16,104.0,0.219,54.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.225,23.0,7,2,28.57,7.18 (NA-NA),5,71.43,4.37 (3.67-5.07),1.68,1.86
astrocytes 4,752.0,0.165,68.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.186,96.0,300,11,3.67,4.51 (3.45-5.56),289,96.33,3.76 (3.55-3.97),3.76,4.17
microglia 1,346.0,0.264,88.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,1003.0,0.096,50.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.132,40.0,200,6,3.0,5.17 (3.24-7.09),194,97.0,3.56 (3.30-3.83),2.62,3.49
