tipo_celular,module_size,SARM1_MM,SARM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.168,59.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,932.0,0.115,59.0,80,5,6.25,4.71 (2.30-7.13),75,93.75,3.62 (3.21-4.04),1.78,4.47
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,28,7.93,2.01 (1.47-2.55),325,92.07,4.11 (3.92-4.29),25.48,6.56
GABA neurons expressing GLU receptors 22,203.0,0.323,69.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.182,77.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,853.0,0.161,68.0,133,14,10.53,1.52 (0.88-2.17),119,89.47,3.50 (3.18-3.82),4.92,4.07
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.153,61.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,2090.0,0.276,96.0,74,2,2.7,1.98 (0.90-3.05),72,97.3,2.97 (2.59-3.36),4.43,10.67
astrocytes 8,1266.0,0.122,79.0,66,23,34.85,2.67 (1.91-3.43),43,65.15,3.60 (3.15-4.05),3.28,2.78
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,20,7.25,2.37 (1.73-3.01),256,92.75,3.66 (3.43-3.88),8.64,4.83
oligodendrocytes 10,1277.0,0.042,7.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.153,50.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,81.0,0.071,0.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.381,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251.0,0.131,23.0,34,1,2.94,NA,33,97.06,5.25 (4.63-5.86),1.73,3.11
oligodendrocytes 0,2078.0,0.103,28.0,238,5,2.1,2.30 (0.63-3.97),233,97.9,3.67 (3.45-3.89),10.29,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,44.0,0.062,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,1630.0,0.109,6.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
