tipo_celular,module_size,CNN3_MM,CNN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.312,90.0,58,7,12.07,3.91 (2.74-5.09),51,87.93,4.22 (3.76-4.68),2.01,2.36
oligodendrocyte progenitor cells 7,666.0,0.261,87.0,127,8,6.3,4.78 (3.56-5.99),119,93.7,3.77 (3.43-4.12),2.81,6.04
GABA neurons expressing GLU receptors 22,599.0,0.416,98.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.18,42.0,62,3,4.84,4.08 (2.22-5.94),59,95.16,4.05 (3.58-4.51),1.98,4.32
oligodendrocytes 20,322.0,0.045,12.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.203,93.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,5,1.81,1.41 (0.82-2.00),271,98.19,3.58 (3.36-3.80),5.91,5.10
oligodendrocytes 10,806.0,0.04,4.0,261,3,1.15,4.28 (4.25-4.31),258,98.85,4.37 (4.12-4.61),5.78,6.07
connective tissue cells 21,152.0,0.401,90.0,21,2,9.52,6.49 (5.49-7.49),19,90.48,4.94 (3.40-6.49),3.07,2.13
astrocytes 15,1401.0,0.172,93.0,96,17,17.71,4.46 (3.46-5.46),79,82.29,3.46 (2.97-3.95),4.97,3.54
oligodendrocytes 16,71.0,0.057,0.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.294,64.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,514.0,0.247,75.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,2078.0,0.148,98.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.087,48.0,7,1,14.29,NA,6,85.71,5.62 (2.52-8.73),1.34,4.24
oligodendrocytes 2,1630.0,0.136,39.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
