tipo_celular,module_size,TLE1_MM,TLE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.251,87.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.167,51.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48),4.34,6.02
GABA neurons expressing GLU receptors 22,703.0,0.185,50.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.17,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.149,67.0,297,2,0.67,5.16 (5.16-5.16),295,99.33,3.66 (3.46-3.87),11.14,5.48
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.074,6.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67),1.90,8.67
astrocytes 8,577.0,0.184,89.0,83,5,6.02,2.10 (0.92-3.27),78,93.98,3.32 (2.86-3.79),2.21,4.62
oligodendrocyte progenitor cells 12,411.0,0.042,15.0,103,1,0.97,5.24 (NA-NA),102,99.03,5.55 (5.16-5.94),2.80,3.09
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.223,18.0,11,3,27.27,2.25 (-0.64-5.14),8,72.73,1.33 (0.31-2.35),2.32,2.07
astrocytes 15,443.0,0.16,56.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.315,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.279,81.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95),3.02,4.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
