tipo_celular,module_size,RNGTT_MM,RNGTT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.222,79.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41),3.13,4.96
T cells 18,477.0,0.281,94.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141.0,0.155,80.0,166,20,12.05,1.87 (1.43-2.31),146,87.95,3.65 (3.39-3.91),8.34,4.03
oligodendrocyte progenitor cells 7,4285.0,0.165,91.0,353,33,9.35,1.94 (1.50-2.39),320,90.65,4.16 (3.98-4.34),31.45,5.65
GABA neurons expressing GLU receptors 22,823.0,0.168,44.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24),1.78,3.58
GLU like neurons 17,380.0,0.206,75.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,77.0,0.489,95.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.172,80.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,295.0,0.245,73.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71),1.88,3.16
GABA like neurons 14,1300.0,0.142,20.0,306,4,1.31,2.15 (0.68-3.62),302,98.69,5.15 (4.89-5.41),4.01,6.74
astrocytes 8,262.0,0.184,72.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.151,99.0,276,25,9.06,2.11 (1.68-2.55),251,90.94,3.73 (3.50-3.95),14.11,4.21
oligodendrocytes 10,2107.0,0.324,92.0,358,33,9.22,1.94 (1.50-2.39),325,90.78,4.13 (3.95-4.32),36.72,6.71
connective tissue cells 21,106.0,0.226,21.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768.0,0.079,43.0,105,18,17.14,1.78 (1.36-2.20),87,82.86,3.54 (3.18-3.90),7.41,3.27
oligodendrocytes 16,107.0,0.165,11.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,99.0,0.196,7.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94),NA,4.50
astrocytes 4,752.0,0.154,50.0,96,1,1.04,3.78 (NA-NA),95,98.96,3.28 (2.95-3.62),2.21,4.34
oligodendrocytes 0,1186.0,0.16,75.0,300,1,0.33,3.78 (NA-NA),299,99.67,3.79 (3.59-4.00),7.31,4.15
microglia 1,813.0,0.213,95.0,79,2,2.53,5.16 (5.16-5.16),77,97.47,3.04 (2.64-3.45),4.52,7.99
oligodendrocytes 3,1003.0,0.137,80.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,804.0,0.156,54.0,84,5,5.95,2.00 (0.72-3.28),79,94.05,2.74 (2.40-3.09),4.78,3.31
