tipo_celular,module_size,PTBP3_MM,PTBP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.168,57.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.174,73.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.191,100.0,353,37,10.48,1.81 (1.46-2.16),316,89.52,4.21 (4.03-4.38),22.17,6.41
GABA neurons expressing GLU receptors 22,703.0,0.163,36.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,685.0,0.111,36.0,135,19,14.07,1.71 (1.27-2.14),116,85.93,3.49 (3.16-3.81),4.54,3.62
da like neurons 11,145.0,0.44,94.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.127,49.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,403.0,0.052,19.0,18,8,44.44,1.00 (0.35-1.65),10,55.56,2.58 (1.67-3.49),5.51,2.42
GABA like neurons 14,3052.0,0.119,33.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.081,52.0,276,27,9.78,1.73 (1.43-2.02),249,90.22,3.80 (3.58-4.02),7.75,4.82
oligodendrocytes 10,2107.0,0.358,95.0,358,42,11.73,1.90 (1.51-2.28),316,88.27,4.22 (4.04-4.40),25.46,7.35
connective tissue cells 21,102.0,0.307,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,86.0,0.231,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.225,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.108,38.0,238,7,2.94,2.37 (1.44-3.30),231,97.06,3.68 (3.46-3.91),10.37,4.86
microglia 1,1615.0,0.15,89.0,161,30,18.63,1.57 (1.21-1.92),131,81.37,3.77 (3.51-4.04),9.61,4.48
oligodendrocytes 3,854.0,0.088,48.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.13,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
