tipo_celular,module_size,ALDH6A1_MM,ALDH6A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.14,43.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83),1.85,5.14
oligodendrocyte progenitor cells 7,4285.0,0.149,70.0,353,24,6.8,1.60 (1.16-2.05),329,93.2,4.11 (3.93-4.29),37.25,5.93
GABA neurons expressing GLU receptors 22,1069.0,0.178,60.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.073,32.0,18,11,61.11,1.31 (0.69-1.94),7,38.89,2.77 (1.54-3.99),4.78,2.25
GABA like neurons 14,3052.0,0.068,5.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.071,38.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,3303.0,0.11,83.0,276,16,5.8,2.01 (1.53-2.48),260,94.2,3.67 (3.44-3.89),18.88,4.26
oligodendrocytes 10,204.0,0.05,6.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.01,0.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,84.0,0.215,78.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.301,46.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA),2.03,1.45
astrocytes 4,514.0,0.153,30.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74),1.85,4.73
oligodendrocytes 0,2078.0,0.139,93.0,238,4,1.68,1.82 (0.56-3.08),234,98.32,3.67 (3.45-3.89),12.92,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.051,9.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.21,56.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
