tipo_celular,module_size,FIRRE_MM,FIRRE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.135,18.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.109,13.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.833,100.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.049,9.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.34,94.0,358,9,2.51,1.97 (1.04-2.91),349,97.49,3.93 (3.73-4.12),11.37,9.42
connective tissue cells 21,118.0,0.261,30.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.098,61.0,105,7,6.67,1.54 (0.69-2.39),98,93.33,3.34 (3.00-3.68),3.63,4.00
oligodendrocytes 16,199.0,0.127,13.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.284,34.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.09,1.0,104,5,4.81,1.46 (0.24-2.69),99,95.19,2.94 (2.66-3.22),5.28,5.40
oligodendrocytes 0,117.0,0.092,7.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,813.0,0.181,90.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,242.0,0.136,56.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,804.0,0.144,41.0,84,4,4.76,2.07 (0.27-3.88),80,95.24,2.73 (2.39-3.07),2.76,3.43
