tipo_celular,module_size,CRY2_MM,CRY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.403,98.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83),3.03,5.15
oligodendrocyte progenitor cells 7,666.0,0.143,30.0,127,22,17.32,2.69 (2.13-3.26),105,82.68,4.11 (3.74-4.48),3.48,6.33
GABA neurons expressing GLU receptors 22,848.0,0.295,75.0,262,14,5.34,2.54 (1.58-3.50),248,94.66,4.27 (4.02-4.52),4.63,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.07,4.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.073,14.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676.0,0.05,22.0,110,4,3.64,0.90 (0.75-1.04),106,96.36,5.16 (4.73-5.58),3.17,3.54
GABA like neurons 14,3052.0,0.102,19.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.366,99.0,83,14,16.87,3.83 (2.06-5.60),69,83.13,3.18 (2.72-3.64),2.08,4.96
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,42,15.22,1.92 (1.69-2.14),234,84.78,3.92 (3.69-4.15),9.84,4.26
oligodendrocytes 10,735.0,0.074,33.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,145.0,0.369,86.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,377.0,0.136,39.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,105.0,0.243,66.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00),2.83,14.58
da neurons 6,448.0,0.081,25.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,327.0,0.431,82.0,120,36,30.0,2.54 (2.12-2.97),84,70.0,4.19 (3.87-4.52),3.37,2.55
astrocytes 4,514.0,0.53,99.0,95,8,8.42,1.74 (1.10-2.39),87,91.58,3.57 (3.13-4.01),2.55,4.83
oligodendrocytes 0,2078.0,0.117,56.0,238,15,6.3,2.39 (1.92-2.85),223,93.7,3.74 (3.51-3.97),5.84,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.035,1.0,111,1,0.9,7.59 (NA-NA),110,99.1,3.26 (2.92-3.60),1.76,4.25
oligodendrocytes 2,1630.0,0.141,49.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
