tipo_celular,module_size,DZIP1_MM,DZIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.113,25.0,166,16,9.64,2.05 (1.44-2.65),150,90.36,3.54 (3.28-3.80),9.60,4.01
oligodendrocyte progenitor cells 7,4285.0,0.086,4.0,353,29,8.22,2.00 (1.49-2.50),324,91.78,4.10 (3.92-4.28),27.49,6.33
GABA neurons expressing GLU receptors 22,459.0,0.131,36.0,165,7,4.24,3.37 (2.71-4.02),158,95.76,5.18 (4.82-5.53),5.24,4.04
GLU like neurons 17,229.0,0.199,51.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,197.0,0.077,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.219,56.0,306,21,6.86,3.27 (2.75-3.79),285,93.14,5.30 (5.03-5.57),10.77,6.41
astrocytes 8,218.0,0.244,89.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,218.0,0.399,93.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.306,76.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1768.0,0.122,80.0,105,10,9.52,1.80 (1.18-2.43),95,90.48,3.37 (3.02-3.73),8.13,3.54
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.259,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.165,67.0,96,8,8.33,3.46 (2.24-4.69),88,91.67,3.28 (2.93-3.62),2.99,4.44
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
