tipo_celular,module_size,MYO1E_MM,MYO1E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.296,95.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.201,64.0,58,9,15.52,3.86 (2.92-4.79),49,84.48,4.24 (3.77-4.72),1.89,2.40
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.348,96.0,141,3,2.13,2.58 (2.08-3.08),138,97.87,2.97 (2.73-3.21),2.11,6.92
oligodendrocytes 20,676.0,0.627,91.0,110,24,21.82,4.49 (3.93-5.06),86,78.18,5.18 (4.60-5.75),3.21,3.61
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.286,79.0,48,3,6.25,5.69 (5.36-6.03),45,93.75,4.32 (3.52-5.13),1.88,3.23
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,236.0,0.511,56.0,82,12,14.63,4.41 (3.66-5.16),70,85.37,5.09 (4.50-5.68),3.21,3.94
connective tissue cells 21,250.0,0.299,47.0,117,26,22.22,3.95 (3.35-4.55),91,77.78,5.93 (5.50-6.36),3.28,3.87
astrocytes 15,1401.0,0.112,71.0,96,17,17.71,4.30 (3.44-5.16),79,82.29,3.45 (2.94-3.96),4.43,3.66
oligodendrocytes 16,287.0,0.46,93.0,105,28,26.67,4.27 (3.67-4.86),77,73.33,5.50 (4.92-6.07),4.12,3.23
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.277,28.0,120,18,15.0,2.12 (1.23-3.01),102,85.0,3.78 (3.48-4.09),3.08,2.75
astrocytes 4,514.0,0.2,59.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,261.0,0.286,94.0,42,18,42.86,4.14 (3.28-5.00),24,57.14,3.99 (2.91-5.08),2.28,2.27
microglia 1,346.0,0.378,97.0,43,4,9.3,4.94 (3.49-6.39),39,90.7,3.66 (3.14-4.19),4.08,4.53
oligodendrocytes 3,99.0,0.261,68.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.244,62.0,26,2,7.69,5.69 (3.75-7.62),24,92.31,5.10 (3.99-6.21),1.89,2.60
