tipo_celular,module_size,SEC63_MM,SEC63_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.169,30.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282,0.16,36.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1141,0.136,59.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,4285,0.162,87.0,353,30,8.5,2.30 (1.78-2.82),323,91.5,4.09 (3.90-4.27),23.34,6.65
GABA neurons expressing GLU receptors 22,714,0.077,3.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,795,0.135,53.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,89,0.339,62.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,67,0.181,49.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,303,0.082,17.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,271,0.143,36.0,8,1,12.5,NA,7,87.5,3.49 (2.00-4.99),1.30,3.72
GABA like neurons 14,2090,0.037,1.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,262,0.112,36.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708,0.118,55.0,32,11,34.38,1.83 (0.97-2.69),21,65.62,4.16 (3.16-5.16),3.41,2.17
oligodendrocytes 10,2107,0.109,33.0,358,25,6.98,2.26 (1.65-2.87),333,93.02,4.03 (3.83-4.22),21.25,8.59
connective tissue cells 21,101,0.244,34.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1768,0.063,26.0,105,19,18.1,2.60 (2.02-3.18),86,81.9,3.36 (2.98-3.75),4.20,3.93
oligodendrocytes 16,74,0.177,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.082,11.0,138,2,1.45,0.40 (0.12-0.69),136,98.55,4.90 (4.54-5.26),2.74,2.73
astrocytes microglia 23,114,0.243,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.172,85.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.133,30.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,813,0.183,90.0,79,9,11.39,3.58 (2.69-4.48),70,88.61,3.03 (2.59-3.47),3.15,8.51
oligodendrocytes 3,357,0.091,47.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.128,34.0,200,12,6.0,3.31 (2.76-3.85),188,94.0,3.65 (3.36-3.93),5.79,3.31
