tipo_celular,module_size,ACBD5_MM,ACBD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.073,4.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727.0,0.135,43.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,31,8.78,2.18 (1.46-2.90),322,91.22,4.08 (3.90-4.25),29.12,6.04
GABA neurons expressing GLU receptors 22,192.0,0.166,69.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1316.0,0.061,5.0,101,2,1.98,5.98 (5.98-5.98),99,98.02,2.98 (2.63-3.32),5.68,3.00
da like neurons 11,82.0,0.16,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238.0,0.085,5.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338.0,0.064,7.0,191,3,1.57,6.51 (5.46-7.57),188,98.43,3.83 (3.61-4.05),6.28,9.20
oligodendrocytes 20,250.0,0.158,38.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.134,19.0,455,22,4.84,2.22 (1.36-3.07),433,95.16,4.49 (4.32-4.67),24.27,8.05
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,14,5.07,1.99 (1.46-2.52),262,94.93,3.65 (3.43-3.87),19.86,4.32
oligodendrocytes 10,806.0,0.093,23.0,261,5,1.92,2.05 (1.30-2.81),256,98.08,4.43 (4.18-4.67),10.11,5.99
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.258,73.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,448.0,0.087,32.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,126.0,0.315,45.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.139,92.0,238,8,3.36,4.02 (1.67-6.37),230,96.64,3.62 (3.41-3.84),5.83,4.99
microglia 1,1615.0,0.077,7.0,161,23,14.29,2.17 (1.33-3.01),138,85.71,3.51 (3.25-3.76),15.51,3.75
oligodendrocytes 3,1003.0,0.061,13.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.163,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
