tipo_celular,module_size,ELMOD2_MM,ELMOD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.088,9.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.152,95.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,2,0.57,5.16 (5.16-5.16),351,99.43,3.88 (3.69-4.07),1.79,8.10
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.087,17.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.035,6.0,169,0,0.0,NA,169,100.0,3.48 (3.26-3.70),NA,5.36
GABA like neurons 14,3052.0,0.116,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.087,37.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,1,0.36,0.87 (NA-NA),275,99.64,3.55 (3.34-3.77),1.53,5.12
oligodendrocytes 10,2107.0,0.042,4.0,358,7,1.96,3.60 (2.13-5.06),351,98.04,3.87 (3.67-4.06),4.69,9.57
connective tissue cells 21,139.0,0.37,87.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.103,66.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55),NA,3.98
oligodendrocytes 16,121.0,0.24,68.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,54.0,0.281,34.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,1807.0,0.169,89.0,104,0,0.0,NA,104,100.0,2.86 (2.58-3.14),NA,5.40
oligodendrocytes 0,2078.0,0.126,75.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,1615.0,0.102,38.0,161,5,3.11,4.70 (4.08-5.33),156,96.89,3.22 (2.94-3.49),3.09,5.51
oligodendrocytes 3,681.0,0.097,53.0,87,0,0.0,NA,87,100.0,2.58 (2.31-2.85),NA,4.24
oligodendrocytes 2,1630.0,0.177,98.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
