tipo_celular,module_size,KCNT2_MM,KCNT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.067,5.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.285,92.0,80,5,6.25,4.36 (2.48-6.23),75,93.75,5.81 (5.40-6.22),2.67,3.04
da like neurons 11,142.0,0.397,86.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.313,69.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.11,11.0,306,22,7.19,2.93 (2.52-3.34),284,92.81,5.35 (5.08-5.62),3.01,6.99
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,153.0,0.46,73.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76),NA,2.15
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.283,74.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
