tipo_celular,module_size,MDGA2_MM,MDGA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.184,77.0,219,10,4.57,3.82 (3.00-4.64),209,95.43,5.30 (5.01-5.60),9.87,4.36
GABA neurons expressing GLU receptors 22,703.0,0.201,59.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,795.0,0.402,98.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22),3.75,2.99
da like neurons 11,191.0,0.195,37.0,93,10,10.75,4.18 (3.18-5.19),83,89.25,5.89 (5.48-6.30),5.08,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.337,86.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300.0,0.357,97.0,306,17,5.56,3.53 (2.71-4.35),289,94.44,5.22 (4.95-5.49),13.69,6.30
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.187,57.0,103,5,4.85,3.76 (2.04-5.47),98,95.15,5.64 (5.26-6.03),3.22,3.08
oligodendrocytes 10,1277.0,0.261,99.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.388,82.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,149.0,0.44,93.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12),2.25,3.33
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.502,100.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.203,94.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,347.0,0.405,98.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
