tipo_celular,module_size,DYSF_MM,DYSF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.131,48.0,51,5,9.8,3.77 (1.81-5.74),46,90.2,3.61 (3.00-4.22),3.23,3.24
da like neurons 11,102.0,0.344,75.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.151,31.0,74,6,8.11,4.09 (2.73-5.45),68,91.89,5.62 (5.04-6.20),2.56,3.73
oligodendrocytes 20,403.0,0.244,88.0,18,6,33.33,0.92 (0.19-1.65),12,66.67,2.35 (1.51-3.20),5.93,2.72
GABA like neurons 14,3052.0,0.17,75.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.097,43.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.137,15.0,291,22,7.56,2.83 (2.40-3.26),269,92.44,4.48 (4.24-4.71),6.21,3.62
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,42.0,0.295,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.228,88.0,40,1,2.5,5.30 (NA-NA),39,97.5,5.88 (5.35-6.41),3.14,3.48
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.27,99.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.294,80.0,114,4,3.51,3.20 (1.82-4.57),110,96.49,5.21 (4.80-5.63),4.14,4.40
