tipo_celular,module_size,CCDC90B_MM,CCDC90B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.172,58.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,518.0,0.145,42.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.1,26.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,9,2.55,0.82 (0.41-1.23),344,97.45,3.99 (3.81-4.17),44.38,7.11
GABA neurons expressing GLU receptors 22,1069.0,0.228,87.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,102.0,0.061,1.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.059,3.0,302,1,0.33,1.82 (NA-NA),301,99.67,3.99 (3.76-4.22),34.67,10.57
oligodendrocytes 20,275.0,0.138,24.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.096,15.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.055,16.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,1049.0,0.072,36.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.055,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,110.0,0.393,90.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94),NA,1.70
astrocytes 15,1768.0,0.122,80.0,105,3,2.86,1.44 (0.56-2.31),102,97.14,3.27 (2.93-3.61),3.64,3.99
oligodendrocytes 16,91.0,0.207,52.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.303,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.129,23.0,104,3,2.88,1.01 (0.10-1.93),101,97.12,2.92 (2.64-3.20),15.31,5.10
oligodendrocytes 0,613.0,0.115,19.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,1615.0,0.081,11.0,161,9,5.59,0.82 (0.41-1.23),152,94.41,3.45 (3.19-3.71),16.22,4.79
oligodendrocytes 3,681.0,0.089,44.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94),5.85,4.16
oligodendrocytes 2,528.0,0.121,9.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
