tipo_celular,module_size,HIST1H2AC_MM,HIST1H2AC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.145,38.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282.0,0.036,0.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,1656.0,0.111,41.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,229.0,0.159,34.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.076,10.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279.0,0.172,36.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.089,36.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.106,48.0,32,7,21.88,1.06 (0.25-1.86),25,78.12,3.98 (3.14-4.81),3.75,2.28
oligodendrocytes 10,2107.0,0.234,78.0,358,22,6.15,1.48 (1.05-1.91),336,93.85,4.08 (3.89-4.26),36.79,7.68
connective tissue cells 21,111.0,0.284,53.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,458.0,0.097,53.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,116.0,0.254,86.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.332,92.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,1807.0,0.134,31.0,104,12,11.54,1.72 (1.14-2.31),92,88.46,3.02 (2.73-3.32),14.46,4.21
oligodendrocytes 0,613.0,0.146,54.0,127,3,2.36,3.11 (2.57-3.66),124,97.64,3.05 (2.62-3.48),5.46,6.30
microglia 1,315.0,0.164,46.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,681.0,0.096,52.0,87,12,13.79,1.96 (1.37-2.54),75,86.21,2.69 (2.40-2.99),8.79,3.51
oligodendrocytes 2,921.0,0.123,27.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
