tipo_celular,module_size,MOAP1_MM,MOAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.404,92.0,262,21,8.02,3.14 (2.26-4.02),241,91.98,4.27 (4.02-4.52),5.88,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.427,94.0,410,41,10.0,3.99 (3.50-4.49),369,90.0,4.28 (4.08-4.49),10.12,7.23
GABA neurons expressing GABA receptors 13,75.0,0.182,67.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,338.0,0.331,90.0,191,10,5.24,5.08 (3.71-6.44),181,94.76,3.82 (3.60-4.04),5.78,9.34
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.567,93.0,455,45,9.89,3.37 (2.79-3.95),410,90.11,4.48 (4.29-4.68),17.95,7.83
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.261,90.0,235,18,7.66,4.22 (3.37-5.07),217,92.34,3.95 (3.69-4.21),5.47,4.33
astrocytes microglia 23,61.0,0.458,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
