tipo_celular,module_size,SYBU_MM,SYBU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.142,66.0,166,5,3.01,0.89 (0.33-1.45),161,96.99,3.49 (3.24-3.73),5.64,4.52
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,21,5.95,1.94 (1.28-2.60),332,94.05,4.05 (3.87-4.23),25.84,6.94
GABA neurons expressing GLU receptors 22,714.0,0.142,26.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1316.0,0.145,68.0,101,3,2.97,4.05 (NA-NA),98,97.03,3.04 (2.69-3.39),2.04,3.09
da like neurons 11,197.0,0.328,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200.0,0.157,53.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.183,38.0,306,17,5.56,3.08 (2.28-3.88),289,94.44,5.27 (5.01-5.54),9.91,6.52
astrocytes 8,727.0,0.109,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,17,6.16,3.10 (2.28-3.92),259,93.84,3.58 (3.35-3.80),7.25,4.97
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.133,83.0,96,8,8.33,3.50 (2.45-4.55),88,91.67,3.62 (3.14-4.11),4.17,3.76
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.129,69.0,122,16,13.11,1.90 (1.30-2.50),106,86.89,4.42 (4.03-4.82),4.22,3.37
astrocytes microglia 23,101.0,0.254,19.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,255.0,0.266,90.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
