tipo_celular,module_size,PDLIM5_MM,PDLIM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.131,30.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282.0,0.223,80.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,118.0,0.15,6.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448.0,0.101,20.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,1069.0,0.144,35.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.283,90.0,135,11,8.15,1.87 (0.43-3.31),124,91.85,3.28 (2.97-3.58),3.35,3.79
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.292,78.0,54,23,42.59,5.72 (5.03-6.42),31,57.41,4.33 (3.50-5.16),4.99,5.07
oligodendrocytes 20,348.0,0.034,8.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.049,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.204,90.0,29,2,6.9,NA,27,93.1,2.37 (1.87-2.86),1.45,3.70
oligodendrocyte progenitor cells 12,153.0,0.488,86.0,27,10,37.04,4.96 (3.25-6.67),17,62.96,4.52 (3.52-5.53),2.62,1.87
oligodendrocytes 10,2107.0,0.217,74.0,358,19,5.31,1.30 (0.87-1.73),339,94.69,4.05 (3.86-4.23),19.77,8.90
connective tissue cells 21,152.0,0.482,99.0,21,7,33.33,7.00 (7.00-7.00),14,66.67,4.63 (3.04-6.23),2.73,1.97
astrocytes 15,268.0,0.21,77.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,75.0,0.212,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.22,25.0,46,4,8.7,6.55 (5.31-7.79),42,91.3,4.88 (4.29-5.46),2.35,3.29
astrocytes 4,220.0,0.129,26.0,63,32,50.79,5.30 (4.57-6.03),31,49.21,4.89 (4.00-5.78),3.89,2.68
oligodendrocytes 0,2078.0,0.145,97.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,958.0,0.131,77.0,290,11,3.79,1.91 (1.26-2.57),279,96.21,3.90 (3.67-4.13),4.65,5.01
oligodendrocytes 3,681.0,0.11,64.0,87,7,8.05,1.66 (0.81-2.50),80,91.95,2.66 (2.38-2.94),3.41,4.31
oligodendrocytes 2,921.0,0.162,85.0,200,3,1.5,3.64 (2.13-5.16),197,98.5,3.62 (3.35-3.89),2.41,3.48
