tipo_celular,module_size,NUP214_MM,NUP214_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.107,15.0,47,1,2.13,NA,46,97.87,2.59 (2.10-3.08),1.33,4.22
T cells 18,349.0,0.173,47.0,68,6,8.82,1.47 (0.97-1.98),62,91.18,4.75 (4.21-5.28),3.20,3.32
astrocytes 5,1141.0,0.106,18.0,166,15,9.04,2.25 (1.44-3.07),151,90.96,3.53 (3.27-3.79),9.39,4.07
oligodendrocyte progenitor cells 7,4285.0,0.176,96.0,353,56,15.86,3.10 (2.56-3.63),297,84.14,4.08 (3.89-4.26),21.10,5.61
GABA neurons expressing GLU receptors 22,599.0,0.308,87.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.118,46.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41),2.20,3.07
da like neurons 11,853.0,0.128,49.0,133,20,15.04,1.71 (1.21-2.20),113,84.96,3.59 (3.26-3.92),5.21,3.98
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.125,21.0,120,1,0.83,2.00 (NA-NA),119,99.17,4.63 (4.32-4.95),1.74,3.67
oligodendrocytes 20,938.0,0.046,10.0,169,12,7.1,2.55 (1.80-3.30),157,92.9,3.57 (3.34-3.79),4.45,5.43
GABA like neurons 14,2090.0,0.106,17.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,283.0,0.045,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.071,25.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.137,47.0,358,56,15.64,2.98 (2.43-3.53),302,84.36,4.07 (3.88-4.26),21.79,7.19
connective tissue cells 21,116.0,0.254,30.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,443.0,0.176,69.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,155.0,0.177,30.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,44.0,0.336,63.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,787.0,0.155,57.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36),2.29,5.86
oligodendrocytes 0,1186.0,0.149,58.0,300,2,0.67,3.61 (0.57-6.65),298,99.33,3.79 (3.59-4.00),1.60,4.17
microglia 1,813.0,0.106,38.0,79,2,2.53,5.26 (-0.67-11.18),77,97.47,3.04 (2.65-3.43),4.21,8.00
oligodendrocytes 3,1003.0,0.085,39.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.146,45.0,84,5,5.95,0.92 (0.41-1.42),79,94.05,2.83 (2.50-3.17),2.89,3.43
