tipo_celular,module_size,RNF217_MM,RNF217_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.219,63.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.151,77.0,166,40,24.1,3.17 (2.66-3.67),126,75.9,3.46 (3.17-3.76),5.28,4.32
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,48,13.6,2.85 (2.42-3.28),305,86.4,4.07 (3.88-4.27),16.60,6.72
GABA neurons expressing GLU receptors 22,400.0,0.11,8.0,24,8,33.33,2.38 (1.27-3.49),16,66.67,2.05 (1.50-2.59),4.90,2.92
GLU like neurons 17,380.0,0.124,18.0,39,14,35.9,3.52 (3.07-3.98),25,64.1,2.72 (1.97-3.48),1.97,2.91
da like neurons 11,89.0,0.399,82.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.222,58.0,120,4,3.33,3.01 (2.78-3.24),116,96.67,4.67 (4.35-4.99),3.80,3.65
oligodendrocytes 20,322.0,0.038,9.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.149,59.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68),4.44,8.90
astrocytes 8,262.0,0.176,68.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708.0,0.091,37.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.114,54.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,100.0,0.268,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.095,19.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83),1.77,1.85
oligodendrocytes 16,113.0,0.148,10.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.228,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.148,43.0,96,11,11.46,3.43 (2.31-4.55),85,88.54,3.28 (2.93-3.62),2.65,4.54
oligodendrocytes 0,309.0,0.166,75.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813.0,0.142,74.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.144,83.0,111,5,4.5,3.13 (2.31-3.96),106,95.5,3.31 (2.96-3.65),3.27,4.28
oligodendrocytes 2,804.0,0.13,24.0,84,31,36.9,3.21 (2.67-3.76),53,63.1,2.39 (1.99-2.80),3.73,3.20
