tipo_celular,module_size,ANKRD13A_MM,ANKRD13A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.23,74.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,477.0,0.108,14.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.107,19.0,80,2,2.5,1.04 (NA-NA),78,97.5,3.44 (2.96-3.91),2.91,5.07
oligodendrocyte progenitor cells 7,666.0,0.106,10.0,127,10,7.87,3.04 (1.72-4.35),117,92.13,3.94 (3.60-4.27),4.18,5.98
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,229.0,0.249,79.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09),1.86,3.15
da like neurons 11,408.0,0.104,23.0,25,9,36.0,1.70 (0.64-2.75),16,64.0,6.56 (5.46-7.65),2.19,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.056,2.0,74,3,4.05,3.54 (1.41-5.67),71,95.95,5.59 (5.03-6.15),2.49,3.68
oligodendrocytes 20,250.0,0.236,68.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.157,52.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.088,26.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA,2.24,1.63
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,14,5.07,2.37 (1.73-3.00),262,94.93,3.62 (3.39-3.84),8.85,4.91
oligodendrocytes 10,2107.0,0.072,14.0,358,26,7.26,1.94 (1.41-2.48),332,92.74,4.06 (3.87-4.25),19.09,8.72
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.057,23.0,96,5,5.21,4.42 (2.67-6.17),91,94.79,3.56 (3.09-4.02),3.95,3.79
oligodendrocytes 16,64.0,0.256,85.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.263,22.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.116,9.0,104,10,9.62,2.47 (1.52-3.42),94,90.38,2.91 (2.61-3.20),8.31,5.09
oligodendrocytes 0,479.0,0.154,53.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,958.0,0.115,56.0,290,15,5.17,2.90 (1.99-3.81),275,94.83,3.88 (3.64-4.11),6.29,4.93
oligodendrocytes 3,1003.0,0.1,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.125,17.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13),2.94,3.42
