tipo_celular,module_size,MYDGF_MM,MYDGF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.24,50.0,98,6,6.12,2.56 (1.28-3.85),92,93.88,3.27 (2.77-3.77),5.67,13.96
T cells 18,506.0,0.14,30.0,225,19,8.44,3.00 (2.40-3.59),206,91.56,3.69 (3.42-3.96),6.80,8.01
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.206,71.0,164,5,3.05,4.59 (3.58-5.59),159,96.95,4.06 (3.72-4.40),7.41,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.186,65.0,213,18,8.45,1.61 (0.98-2.23),195,91.55,4.02 (3.79-4.25),7.16,9.92
endothelial cells 9,916.0,0.304,72.0,302,5,1.66,2.88 (1.40-4.36),297,98.34,4.01 (3.78-4.23),8.20,10.69
oligodendrocytes 20,221.0,0.153,31.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.378,77.0,455,23,5.05,1.99 (1.36-2.62),432,94.95,4.52 (4.34-4.70),22.57,8.10
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.184,82.0,235,3,1.28,3.99 (3.69-4.28),232,98.72,3.82 (3.58-4.06),8.38,7.60
oligodendrocytes 10,483.0,0.17,67.0,129,3,2.33,4.06 (3.86-4.26),126,97.67,3.41 (3.01-3.81),6.31,19.50
connective tissue cells 21,301.0,0.413,59.0,158,14,8.86,3.73 (2.95-4.51),144,91.14,4.33 (3.93-4.74),3.96,7.37
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.338,95.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,729.0,0.183,66.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,39.0,0.408,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.161,45.0,252,23,9.13,2.02 (1.41-2.64),229,90.87,4.38 (4.14-4.62),10.77,7.95
microglia 1,406.0,0.239,60.0,278,8,2.88,5.08 (4.48-5.69),270,97.12,4.33 (4.05-4.61),1.94,6.88
oligodendrocytes 3,303.0,0.069,14.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.231,41.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25),3.27,7.96
