tipo_celular,module_size,ATF6B_MM,ATF6B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.238,69.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.105,18.0,131,3,2.29,3.39 (0.94-5.84),128,97.71,3.07 (2.79-3.34),2.59,4.80
astrocytes 5,1656.0,0.122,61.0,136,12,8.82,2.60 (1.95-3.26),124,91.18,3.28 (2.99-3.57),5.53,4.94
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,64,18.13,2.20 (1.89-2.50),289,81.87,4.41 (4.24-4.58),19.86,5.45
GABA neurons expressing GLU receptors 22,714.0,0.18,51.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.11,34.0,133,47,35.34,1.97 (1.71-2.22),86,64.66,4.17 (3.80-4.54),5.40,3.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.291,90.0,31,8,25.81,3.47 (3.15-3.78),23,74.19,1.95 (1.48-2.43),1.93,4.49
GABA like neurons 14,2090.0,0.179,67.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,262.0,0.11,35.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,49,17.75,2.04 (1.82-2.26),227,82.25,4.00 (3.76-4.23),9.22,4.22
oligodendrocytes 10,735.0,0.041,7.0,277,7,2.53,6.73 (6.40-7.06),270,97.47,3.81 (3.57-4.05),3.00,9.10
connective tissue cells 21,103.0,0.379,92.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401.0,0.035,5.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,71.0,0.115,12.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,112.0,0.305,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.164,84.0,104,33,31.73,2.04 (1.67-2.41),71,68.27,3.29 (2.96-3.63),9.38,3.55
oligodendrocytes 0,2078.0,0.093,12.0,238,14,5.88,2.40 (1.99-2.80),224,94.12,3.73 (3.50-3.96),5.89,4.97
microglia 1,1615.0,0.08,10.0,161,57,35.4,2.02 (1.77-2.28),104,64.6,4.22 (3.94-4.50),9.07,3.44
oligodendrocytes 3,681.0,0.066,22.0,87,50,57.47,2.10 (1.87-2.32),37,42.53,3.39 (2.88-3.90),5.23,2.91
oligodendrocytes 2,1630.0,0.155,78.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
