tipo_celular,module_size,BEX3_MM,BEX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.239,76.0,266,10,3.76,3.54 (2.19-4.89),256,96.24,4.14 (3.92-4.35),4.72,4.99
oligodendrocyte progenitor cells 7,628.0,0.274,86.0,164,3,1.83,5.80 (5.23-6.36),161,98.17,4.06 (3.73-4.39),2.06,7.63
GABA neurons expressing GLU receptors 22,848.0,0.454,96.0,262,12,4.58,3.69 (2.40-4.97),250,95.42,4.19 (3.94-4.44),2.89,4.16
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.508,98.0,410,14,3.41,4.02 (2.98-5.05),396,96.59,4.26 (4.06-4.45),5.06,7.60
GABA neurons expressing GABA receptors 13,417.0,0.257,92.0,213,15,7.04,2.49 (1.15-3.82),198,92.96,3.84 (3.60-4.08),5.21,10.02
endothelial cells 9,338.0,0.263,82.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938.0,0.121,48.0,169,12,7.1,3.79 (2.58-5.00),157,92.9,3.45 (3.24-3.67),3.87,5.48
GABA like neurons 14,2402.0,0.763,100.0,455,20,4.4,3.14 (2.09-4.19),435,95.6,4.40 (4.22-4.59),12.96,8.65
astrocytes 8,520.0,0.324,89.0,288,4,1.39,2.73 (0.96-4.49),284,98.61,4.20 (4.00-4.40),2.84,4.71
oligodendrocyte progenitor cells 12,1049.0,0.172,80.0,235,9,3.83,5.90 (4.62-7.17),226,96.17,3.77 (3.53-4.00),3.20,7.79
oligodendrocytes 10,806.0,0.439,93.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,301.0,0.33,38.0,158,8,5.06,3.10 (1.72-4.49),150,94.94,4.32 (3.94-4.70),4.69,7.19
astrocytes 15,1768.0,0.036,5.0,105,10,9.52,1.57 (0.96-2.18),95,90.48,3.40 (3.06-3.75),5.80,3.79
oligodendrocytes 16,313.0,0.279,70.0,291,7,2.41,4.28 (2.70-5.86),284,97.59,4.33 (4.10-4.55),3.07,3.83
da neurons 6,729.0,0.345,99.0,182,3,1.65,NA,179,98.35,3.64 (3.38-3.89),1.72,8.63
astrocytes microglia 23,161.0,0.308,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157.0,0.187,56.0,178,6,3.37,2.87 (0.98-4.76),172,96.63,4.20 (3.93-4.46),3.61,4.53
oligodendrocytes 0,546.0,0.186,60.0,252,18,7.14,2.92 (1.84-4.01),234,92.86,4.18 (3.93-4.43),8.65,8.18
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.271,91.0,345,11,3.19,5.21 (4.37-6.05),334,96.81,4.23 (4.02-4.45),3.47,5.77
oligodendrocytes 2,526.0,0.322,68.0,213,8,3.76,5.18 (4.30-6.05),205,96.24,3.95 (3.67-4.23),3.93,8.09
