tipo_celular,module_size,FLRT2_MM,FLRT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.347,91.0,98,3,3.06,2.53 (0.50-4.56),95,96.94,4.68 (4.27-5.08),4.27,2.60
oligodendrocyte progenitor cells 7,436.0,0.112,39.0,219,9,4.11,4.15 (3.32-4.98),210,95.89,5.28 (4.98-5.58),6.98,4.51
GABA neurons expressing GLU receptors 22,459.0,0.109,25.0,165,14,8.48,2.70 (1.99-3.42),151,91.52,5.40 (5.06-5.73),4.43,4.06
GLU like neurons 17,229.0,0.151,22.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09),1.86,3.15
da like neurons 11,142.0,0.074,8.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.22,56.0,306,26,8.5,2.90 (2.31-3.48),280,91.5,5.41 (5.15-5.67),7.86,6.60
astrocytes 8,279.0,0.352,88.0,78,12,15.38,2.82 (2.24-3.39),66,84.62,4.64 (4.20-5.09),3.59,2.55
oligodendrocyte progenitor cells 12,138.0,0.569,99.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.276,58.0,19,3,15.79,4.53 (2.56-6.49),16,84.21,4.98 (4.19-5.77),2.25,2.09
astrocytes 15,418.0,0.621,99.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.353,76.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,201.0,0.184,61.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
