tipo_celular,module_size,EIF4A1_MM,EIF4A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.214,89.0,71,2,2.82,1.41 (-0.95-3.78),69,97.18,2.66 (2.25-3.08),4.98,3.54
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.111,11.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18),3.59,5.93
GABA neurons expressing GLU receptors 22,487.0,0.253,64.0,73,5,6.85,1.89 (0.99-2.80),68,93.15,2.83 (2.42-3.23),7.56,7.31
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.164,44.0,410,20,4.88,2.98 (2.34-3.62),390,95.12,4.32 (4.13-4.51),17.55,7.00
GABA neurons expressing GABA receptors 13,200.0,0.126,29.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,916.0,0.172,39.0,302,5,1.66,2.58 (1.04-4.12),297,98.34,4.01 (3.79-4.24),9.58,10.67
oligodendrocytes 20,938.0,0.071,23.0,169,17,10.06,2.65 (1.90-3.40),152,89.94,3.57 (3.34-3.79),10.58,4.78
GABA like neurons 14,2402.0,0.28,62.0,455,33,7.25,2.29 (1.70-2.89),422,92.75,4.53 (4.35-4.71),21.86,7.82
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.205,85.0,235,15,6.38,3.12 (2.54-3.70),220,93.62,3.87 (3.63-4.11),14.07,7.17
oligodendrocytes 10,735.0,0.132,69.0,277,1,0.36,6.09 (NA-NA),276,99.64,3.88 (3.64-4.12),1.49,8.97
connective tissue cells 21,116.0,0.303,64.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,104.0,0.268,88.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,228.0,0.091,41.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,161.0,0.408,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.086,6.0,252,30,11.9,1.94 (1.46-2.41),222,88.1,4.42 (4.18-4.66),19.18,6.73
microglia 1,406.0,0.086,8.0,278,5,1.8,3.84 (2.70-4.99),273,98.2,4.38 (4.10-4.65),21.51,6.47
oligodendrocytes 3,303.0,0.098,31.0,154,2,1.3,3.24 (2.29-4.19),152,98.7,3.63 (3.30-3.95),65.06,11.14
oligodendrocytes 2,526.0,0.164,19.0,213,1,0.47,3.73 (NA-NA),212,99.53,3.98 (3.70-4.26),64.58,7.67
