tipo_celular,module_size,CDH23_MM,CDH23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.274,82.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.169,33.0,98,2,2.04,3.15 (1.74-4.56),96,97.96,4.63 (4.22-5.05),3.90,2.62
oligodendrocyte progenitor cells 7,200.0,0.208,65.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.3,98.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.086,7.0,306,25,8.17,3.53 (2.75-4.31),281,91.83,5.28 (5.01-5.55),6.54,6.72
astrocytes 8,1266.0,0.236,97.0,66,3,4.55,0.86 (-0.25-1.98),63,95.45,3.36 (2.95-3.77),4.60,2.87
oligodendrocyte progenitor cells 12,3303.0,0.13,94.0,276,7,2.54,1.57 (1.01-2.13),269,97.46,3.60 (3.38-3.82),9.28,5.00
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,92.0,0.207,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.089,52.0,105,4,3.81,0.87 (0.13-1.61),101,96.19,3.31 (2.98-3.65),7.30,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.258,37.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,201.0,0.246,86.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74),1.69,3.27
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.112,54.0,161,5,3.11,0.78 (0.17-1.38),156,96.89,3.37 (3.11-3.64),7.91,5.35
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
