tipo_celular,module_size,ATP5F1D_MM,ATP5F1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.286,75.0,225,32,14.22,3.11 (2.72-3.51),193,85.78,3.73 (3.44-4.02),3.93,8.56
astrocytes 5,328.0,0.182,57.0,128,1,0.78,NA,127,99.22,3.57 (3.23-3.91),6.40,6.76
oligodendrocyte progenitor cells 7,628.0,0.192,66.0,164,17,10.37,3.38 (2.91-3.85),147,89.63,4.20 (3.83-4.57),4.12,7.92
GABA neurons expressing GLU receptors 22,487.0,0.219,53.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16),2.04,7.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.337,87.0,410,69,16.83,3.40 (3.20-3.60),341,83.17,4.49 (4.27-4.72),13.70,6.26
GABA neurons expressing GABA receptors 13,417.0,0.349,99.0,213,74,34.74,2.96 (2.67-3.25),139,65.26,4.42 (4.10-4.75),12.43,8.22
endothelial cells 9,916.0,0.404,85.0,302,53,17.55,3.48 (3.21-3.75),249,82.45,4.13 (3.85-4.40),17.14,9.27
oligodendrocytes 20,938.0,0.186,76.0,169,45,26.63,3.38 (3.06-3.69),124,73.37,3.53 (3.24-3.82),3.88,5.90
GABA like neurons 14,2402.0,0.547,92.0,455,71,15.6,3.05 (2.75-3.35),384,84.4,4.68 (4.48-4.88),17.20,7.29
astrocytes 8,603.0,0.198,90.0,89,8,8.99,1.80 (1.06-2.54),81,91.01,2.88 (2.50-3.25),4.50,6.20
oligodendrocyte progenitor cells 12,1049.0,0.24,88.0,235,38,16.17,3.71 (3.47-3.96),197,83.83,3.85 (3.57-4.13),6.06,7.91
oligodendrocytes 10,735.0,0.188,85.0,277,23,8.3,3.90 (3.79-4.01),254,91.7,3.89 (3.62-4.16),4.36,9.36
connective tissue cells 21,101.0,0.343,77.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,261.0,0.012,0.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,96.0,0.259,67.0,102,42,41.18,3.08 (2.70-3.46),60,58.82,3.60 (3.06-4.13),2.94,10.97
da neurons 6,729.0,0.282,93.0,182,15,8.24,3.42 (2.86-3.98),167,91.76,3.66 (3.39-3.93),11.30,8.27
astrocytes microglia 23,140.0,0.291,36.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,208.0,0.167,33.0,173,4,2.31,3.39 (3.07-3.71),169,97.69,3.80 (3.50-4.11),3.70,5.67
oligodendrocytes 0,546.0,0.181,57.0,252,60,23.81,2.94 (2.60-3.28),192,76.19,4.61 (4.33-4.90),7.62,8.40
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.135,50.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),1.74,11.91
oligodendrocytes 2,526.0,0.299,60.0,213,44,20.66,3.77 (3.59-3.95),169,79.34,4.05 (3.69-4.41),8.42,7.81
