tipo_celular,module_size,VEZF1_MM,VEZF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.314,95.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,610.0,0.168,62.0,98,30,30.61,1.81 (1.45-2.18),68,69.39,3.79 (3.47-4.12),6.64,2.89
astrocytes 5,1656.0,0.131,76.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,46,13.03,1.91 (1.64-2.18),307,86.97,4.29 (4.12-4.47),23.41,5.76
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.077,11.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27),2.01,2.36
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.104,52.0,275,46,16.73,1.94 (1.67-2.20),229,83.27,4.60 (4.34-4.85),11.82,4.69
oligodendrocytes 20,358.0,0.128,38.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,3052.0,0.152,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.112,47.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,1049.0,0.06,25.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.072,25.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.37,87.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768.0,0.039,7.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89),7.65,3.37
oligodendrocytes 16,116.0,0.173,30.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.283,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.156,71.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56),11.15,3.76
oligodendrocytes 0,613.0,0.192,86.0,127,13,10.24,2.06 (1.70-2.42),114,89.76,3.24 (2.77-3.72),3.56,6.59
microglia 1,958.0,0.122,66.0,290,6,2.07,1.47 (0.95-1.99),284,97.93,3.88 (3.65-4.11),5.75,4.98
oligodendrocytes 3,743.0,0.126,87.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.177,94.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
