tipo_celular,module_size,TMEM232_MM,TMEM232_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.278,94.0,32,6,18.75,6.89 (NA-NA),26,81.25,4.93 (4.45-5.41),3.44,3.88
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09),28.66,8.01
GABA neurons expressing GLU receptors 22,714.0,0.336,96.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795.0,0.127,48.0,80,2,2.5,NA,78,97.5,5.68 (5.27-6.09),1.35,3.06
da like neurons 11,71.0,0.418,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.048,20.0,110,1,0.91,4.78 (NA-NA),109,99.09,4.99 (4.54-5.45),2.13,3.54
GABA like neurons 14,1300.0,0.256,72.0,306,3,0.98,2.52 (-0.07-5.11),303,99.02,5.13 (4.87-5.39),5.05,6.72
astrocytes 8,727.0,0.221,93.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.108,81.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76),NA,5.11
oligodendrocytes 10,1277.0,0.091,39.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,78.0,0.204,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.148,46.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,149.0,0.116,7.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.28,59.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.214,99.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,479.0,0.156,55.0,40,1,2.5,4.78 (NA-NA),39,97.5,5.90 (5.37-6.43),2.17,3.50
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.191,91.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,804.0,0.186,82.0,84,1,1.19,0.21 (NA-NA),83,98.81,2.73 (2.39-3.06),2.95,3.40
