tipo_celular,module_size,MUT_MM,MUT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.117,52.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50),6.23,4.98
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,19,5.38,1.28 (0.88-1.69),334,94.62,4.08 (3.91-4.26),36.13,6.47
GABA neurons expressing GLU receptors 22,487.0,0.164,27.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,97.0,0.11,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.097,11.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.036,12.0,110,1,0.91,0.79 (NA-NA),109,99.09,5.05 (4.61-5.49),4.12,3.52
GABA like neurons 14,3052.0,0.17,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.065,12.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,12,4.35,1.64 (1.23-2.05),264,95.65,3.65 (3.43-3.87),15.64,4.63
oligodendrocytes 10,735.0,0.091,47.0,277,2,0.72,3.27 (2.98-3.56),275,99.28,3.90 (3.66-4.14),4.20,8.98
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.06,23.0,105,11,10.48,1.54 (1.06-2.02),94,89.52,3.43 (3.08-3.77),8.90,3.40
oligodendrocytes 16,90.0,0.242,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.079,25.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,140.0,0.296,41.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,514.0,0.127,15.0,95,5,5.26,3.29 (1.48-5.09),90,94.74,3.38 (2.94-3.81),2.07,4.78
oligodendrocytes 0,2078.0,0.136,90.0,238,4,1.68,1.79 (0.51-3.06),234,98.32,3.67 (3.45-3.89),8.16,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.075,40.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.34,7.37
oligodendrocytes 2,1630.0,0.167,92.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
