tipo_celular,module_size,NIM1K_MM,NIM1K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.099,36.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,666.0,0.201,73.0,127,12,9.45,2.76 (1.90-3.63),115,90.55,4.01 (3.65-4.36),4.24,6.00
GABA neurons expressing GLU receptors 22,400.0,0.142,18.0,24,1,4.17,1.96 (NA-NA),23,95.83,2.16 (1.63-2.70),2.89,3.61
GLU like neurons 17,1247.0,0.11,31.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,137.0,0.221,34.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.098,36.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090.0,0.138,39.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33),3.66,10.69
astrocytes 8,727.0,0.1,45.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.108,82.0,276,29,10.51,2.69 (2.24-3.15),247,89.49,3.67 (3.44-3.91),7.33,4.85
oligodendrocytes 10,1277.0,0.069,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.11,18.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77),2.11,2.23
oligodendrocytes 16,71.0,0.249,85.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.356,67.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,514.0,0.136,18.0,95,15,15.79,2.68 (2.06-3.31),80,84.21,3.55 (3.05-4.04),2.50,5.04
oligodendrocytes 0,1186.0,0.129,27.0,300,6,2.0,4.09 (3.83-4.36),294,98.0,3.79 (3.57-4.00),7.91,4.08
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.104,59.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.097,2.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
