tipo_celular,module_size,CTDSP2_MM,CTDSP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.159,55.0,71,2,2.82,1.71 (-1.24-4.67),69,97.18,2.65 (2.24-3.07),1.77,3.63
T cells 18,610.0,0.141,40.0,98,20,20.41,1.65 (1.15-2.15),78,79.59,3.55 (3.24-3.87),8.86,2.80
astrocytes 5,932.0,0.104,43.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,22,6.23,1.64 (1.17-2.11),331,93.77,4.09 (3.91-4.27),39.52,5.97
GABA neurons expressing GLU receptors 22,567.0,0.123,17.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.096,17.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,358.0,0.268,86.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090.0,0.127,30.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,260.0,0.1,34.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708.0,0.066,21.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,483.0,0.072,24.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,114.0,0.173,11.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61),NA,2.12
astrocytes 15,1401.0,0.074,39.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,107.0,0.233,61.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.279,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.173,85.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.137,45.0,127,3,2.36,2.54 (0.99-4.09),124,97.64,3.07 (2.64-3.50),6.85,6.26
microglia 1,1615.0,0.111,52.0,161,21,13.04,1.62 (1.13-2.12),140,86.96,3.58 (3.32-3.85),16.62,3.75
oligodendrocytes 3,681.0,0.097,53.0,87,14,16.09,1.64 (1.12-2.16),73,83.91,2.78 (2.49-3.07),8.60,3.41
oligodendrocytes 2,921.0,0.185,96.0,200,1,0.5,1.96 (NA-NA),199,99.5,3.63 (3.37-3.90),7.22,3.44
