tipo_celular,module_size,POMGNT1_MM,POMGNT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.11,40.0,136,4,2.94,2.00 (1.10-2.90),132,97.06,3.25 (2.97-3.53),6.64,4.94
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,25,7.08,1.70 (1.23-2.17),328,92.92,4.11 (3.93-4.29),28.23,6.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.136,55.0,169,7,4.14,1.55 (0.86-2.25),162,95.86,3.58 (3.37-3.80),6.51,5.31
GABA like neurons 14,2402.0,0.194,39.0,455,19,4.18,1.58 (1.00-2.17),436,95.82,4.51 (4.33-4.69),25.58,8.10
astrocytes 8,603.0,0.089,59.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26),5.38,6.08
oligodendrocyte progenitor cells 12,153.0,0.043,8.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,1277.0,0.048,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.059,24.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,121.0,0.279,89.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.315,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.176,95.0,104,17,16.35,1.85 (1.34-2.36),87,83.65,3.08 (2.78-3.38),9.44,4.61
oligodendrocytes 0,2078.0,0.106,34.0,238,7,2.94,2.58 (1.78-3.39),231,97.06,3.67 (3.45-3.90),7.78,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.09,61.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.19,44.0,175,3,1.71,2.49 (1.29-3.69),172,98.29,4.43 (4.08-4.78),5.90,4.60
