tipo_celular,module_size,VAMP3_MM,VAMP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.117,23.0,353,44,12.46,2.55 (2.07-3.03),309,87.54,4.15 (3.96-4.33),18.34,6.60
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.161,52.0,155,9,5.81,5.46 (4.93-5.98),146,94.19,4.27 (3.89-4.65),2.36,4.45
oligodendrocytes 20,250.0,0.12,22.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.075,28.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,483.0,0.074,26.0,129,1,0.78,3.55 (NA-NA),128,99.22,3.43 (3.03-3.82),2.49,19.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.2,55.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.31,56.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.131,39.0,127,8,6.3,2.57 (1.90-3.24),119,93.7,3.10 (2.65-3.56),3.65,6.45
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.083,53.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55),7.07,7.29
oligodendrocytes 2,528.0,0.277,81.0,175,20,11.43,3.22 (2.72-3.71),155,88.57,4.61 (4.22-5.00),6.83,4.33
