tipo_celular,module_size,KLHL9_MM,KLHL9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.063,2.0,49,10,20.41,4.11 (3.34-4.89),39,79.59,2.12 (1.75-2.49),4.94,6.57
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,31,8.78,2.57 (2.02-3.13),322,91.22,4.04 (3.85-4.23),20.64,6.85
GABA neurons expressing GLU receptors 22,714.0,0.158,36.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.154,40.0,410,8,1.95,2.51 (1.44-3.59),402,98.05,4.30 (4.11-4.48),8.97,7.49
GABA neurons expressing GABA receptors 13,200.0,0.132,36.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,559.0,0.077,11.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,275.0,0.095,11.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.147,23.0,455,14,3.08,2.13 (1.21-3.06),441,96.92,4.44 (4.26-4.62),19.02,8.51
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,25,9.06,2.58 (1.93-3.22),251,90.94,3.65 (3.43-3.88),11.72,4.45
oligodendrocytes 10,806.0,0.095,25.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,118.0,0.449,99.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.207,53.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,307.0,0.115,45.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,100.0,0.413,93.0,9,2,22.22,2.85 (2.21-3.49),7,77.78,4.27 (3.06-5.47),1.90,1.68
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.11,41.0,238,17,7.14,3.49 (2.80-4.18),221,92.86,3.65 (3.42-3.88),6.44,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.083,52.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
