tipo_celular,module_size,TTC8_MM,TTC8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.16,49.0,32,5,15.62,4.56 (4.33-4.79),27,84.38,5.17 (4.54-5.80),5.56,3.47
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,23,6.52,1.77 (1.22-2.31),330,93.48,4.07 (3.89-4.25),21.83,7.10
GABA neurons expressing GLU receptors 22,487.0,0.129,15.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,1316.0,0.167,82.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,137.0,0.067,1.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.137,48.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,1266.0,0.043,8.0,66,18,27.27,2.23 (1.45-3.00),48,72.73,3.62 (3.17-4.07),3.55,2.73
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,11,3.99,2.28 (1.40-3.16),265,96.01,3.60 (3.38-3.82),6.00,5.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.433,93.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1401.0,0.054,20.0,96,9,9.38,3.08 (2.27-3.88),87,90.62,3.67 (3.18-4.16),5.01,3.67
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.32,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.189,98.0,65,7,10.77,4.27 (3.68-4.86),58,89.23,2.79 (2.37-3.20),2.52,6.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
