tipo_celular,module_size,EIF3L_MM,EIF3L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.321,97.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,282.0,0.133,36.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,21.0,353,27,7.65,2.13 (1.55-2.71),326,92.35,4.07 (3.89-4.26),18.35,7.21
GABA neurons expressing GLU receptors 22,567.0,0.077,4.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1247.0,0.115,35.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.075,5.0,410,20,4.88,3.32 (2.68-3.96),390,95.12,4.31 (4.12-4.51),9.36,7.42
GABA neurons expressing GABA receptors 13,417.0,0.065,1.0,213,26,12.21,2.50 (1.93-3.07),187,87.79,3.99 (3.74-4.25),7.50,9.99
endothelial cells 9,303.0,0.067,11.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,228.0,0.226,59.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,2402.0,0.117,14.0,455,31,6.81,2.67 (2.09-3.25),424,93.19,4.51 (4.32-4.70),17.22,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,15,5.43,1.60 (1.18-2.01),261,94.57,3.69 (3.47-3.91),10.22,4.82
oligodendrocytes 10,735.0,0.101,53.0,277,2,0.72,5.98 (NA-NA),275,99.28,3.88 (3.64-4.13),2.72,8.99
connective tissue cells 21,152.0,0.127,3.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.347,99.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,409.0,0.086,22.0,235,9,3.83,2.26 (1.60-2.91),226,96.17,4.07 (3.82-4.33),3.47,4.45
astrocytes microglia 23,41.0,0.249,15.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.091,10.0,238,3,1.26,2.79 (-0.25-5.84),235,98.74,3.65 (3.43-3.87),5.98,5.01
microglia 1,958.0,0.079,7.0,290,9,3.1,3.02 (2.17-3.87),281,96.9,3.85 (3.61-4.08),6.88,4.94
oligodendrocytes 3,457.0,0.033,1.0,345,11,3.19,2.88 (2.14-3.62),334,96.81,4.34 (4.13-4.55),3.81,5.75
oligodendrocytes 2,1630.0,0.158,82.0,154,8,5.19,4.08 (2.48-5.69),146,94.81,3.20 (2.93-3.46),2.31,3.66
