tipo_celular,module_size,PELP1_MM,PELP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.172,32.0,262,9,3.44,1.54 (0.80-2.28),253,96.56,4.28 (4.03-4.52),5.26,4.06
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.093,21.0,133,41,30.83,1.74 (1.50-1.99),92,69.17,4.05 (3.71-4.39),5.74,3.46
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.11,22.0,36,18,50.0,2.00 (1.77-2.22),18,50.0,1.83 (1.13-2.54),2.90,3.35
GABA like neurons 14,2090.0,0.101,14.0,74,14,18.92,2.22 (1.97-2.48),60,81.08,3.12 (2.67-3.58),3.19,12.20
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.081,38.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,151.0,0.414,100.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,518.0,0.104,44.0,122,8,6.56,1.17 (0.45-1.89),114,93.44,4.25 (3.87-4.63),4.24,3.43
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.095,14.0,238,17,7.14,2.42 (2.04-2.79),221,92.86,3.73 (3.50-3.97),7.19,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.035,2.0,127,5,3.94,3.80 (2.84-4.76),122,96.06,3.10 (2.76-3.44),3.42,4.27
oligodendrocytes 2,1630.0,0.145,57.0,154,6,3.9,4.72 (3.43-6.01),148,96.1,3.19 (2.92-3.46),2.77,3.63
