tipo_celular,module_size,RNF20_MM,RNF20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,90,25.5,2.55 (2.28-2.82),263,74.5,4.46 (4.27-4.65),17.89,4.70
GABA neurons expressing GLU receptors 22,848.0,0.159,27.0,262,23,8.78,3.06 (2.35-3.77),239,91.22,4.28 (4.02-4.53),6.22,3.90
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.254,55.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.133,54.0,18,12,66.67,1.49 (0.80-2.17),6,33.33,2.66 (1.27-4.05),4.24,2.90
GABA like neurons 14,2402.0,0.137,20.0,455,40,8.79,2.38 (1.90-2.86),415,91.21,4.59 (4.41-4.77),16.74,8.07
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,82,29.71,2.61 (2.34-2.88),194,70.29,4.02 (3.75-4.29),9.37,3.31
oligodendrocytes 10,806.0,0.12,35.0,261,2,0.77,NA,259,99.23,4.36 (4.12-4.61),3.89,6.08
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.264,74.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518.0,0.16,86.0,122,19,15.57,2.56 (1.88-3.24),103,84.43,4.33 (3.90-4.76),3.60,3.46
astrocytes microglia 23,101.0,0.282,30.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.13,81.0,238,34,14.29,3.19 (2.76-3.62),204,85.71,3.71 (3.47-3.96),5.84,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.057,16.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,1630.0,0.161,86.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51),1.75,3.62
