tipo_celular,module_size,FBXO7_MM,FBXO7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.149,35.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44),2.10,2.46
T cells 18,393,0.113,22.0,59,2,3.39,3.38 (2.13-4.63),57,96.61,3.09 (2.58-3.61),2.69,5.44
astrocytes 5,1656,0.139,85.0,136,6,4.41,3.66 (2.44-4.89),130,95.59,3.19 (2.92-3.47),3.09,5.08
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,76,21.53,3.00 (2.61-3.38),277,78.47,4.19 (3.99-4.38),19.78,4.85
GABA neurons expressing GLU receptors 22,567,0.138,23.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685,0.113,37.0,135,42,31.11,3.30 (2.75-3.84),93,68.89,3.13 (2.76-3.51),3.66,3.79
da like neurons 11,408,0.09,16.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,77,0.109,14.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,559,0.063,7.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.113,43.0,169,28,16.57,3.47 (2.92-4.02),141,83.43,3.48 (3.24-3.72),3.53,5.73
GABA like neurons 14,2402,0.144,23.0,455,61,13.41,3.64 (3.07-4.21),394,86.59,4.49 (4.30-4.67),14.71,7.93
astrocytes 8,771,0.081,31.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13),2.11,3.24
oligodendrocyte progenitor cells 12,3303,0.119,89.0,276,60,21.74,3.00 (2.62-3.37),216,78.26,3.72 (3.46-3.97),11.39,3.36
oligodendrocytes 10,483,0.115,49.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,91,0.352,78.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1768,0.097,60.0,105,45,42.86,3.03 (2.59-3.47),60,57.14,3.37 (2.87-3.86),5.69,2.70
oligodendrocytes 16,158,0.162,23.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,518,0.069,7.0,122,35,28.69,3.20 (2.58-3.81),87,71.31,4.44 (3.97-4.92),3.62,3.43
astrocytes microglia 23,109,0.316,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.142,22.0,95,6,6.32,1.30 (0.81-1.78),89,93.68,3.52 (3.09-3.95),2.97,4.75
oligodendrocytes 0,479,0.174,66.0,40,10,25.0,5.75 (4.74-6.77),30,75.0,5.91 (5.31-6.52),3.35,3.51
microglia 1,1615,0.099,34.0,161,59,36.65,3.00 (2.50-3.50),102,63.35,3.46 (3.17-3.75),9.11,3.31
oligodendrocytes 3,639,0.168,86.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,804,0.178,76.0,84,32,38.1,3.10 (2.58-3.62),52,61.9,2.43 (2.01-2.85),3.85,3.12
