tipo_celular,module_size,ATP8B2_MM,ATP8B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.169,69.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932.0,0.112,55.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,32,9.07,2.30 (1.73-2.87),321,90.93,4.10 (3.92-4.28),25.09,6.37
GABA neurons expressing GLU receptors 22,192.0,0.126,48.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1316.0,0.073,9.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,142.0,0.239,54.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.189,74.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.087,57.0,66,18,27.27,1.58 (1.14-2.01),48,72.73,3.99 (3.60-4.38),4.09,2.52
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,19,6.88,2.51 (1.86-3.16),257,93.12,3.64 (3.42-3.87),12.47,4.57
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,96.0,0.424,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.083,46.0,54,5,9.26,3.00 (2.01-3.99),49,90.74,3.76 (3.29-4.23),3.46,2.97
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.366,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.168,88.0,104,13,12.5,1.96 (1.31-2.61),91,87.5,3.00 (2.71-3.30),13.81,4.20
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
