tipo_celular,module_size,RPL36_MM,RPL36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.379,74.0,98,21,21.43,2.50 (1.93-3.08),77,78.57,3.51 (2.90-4.11),39.99,6.22
T cells 18,506.0,0.394,85.0,225,20,8.89,2.49 (1.90-3.08),205,91.11,3.76 (3.50-4.02),32.61,5.49
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.361,94.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487.0,0.264,68.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24),14.51,5.47
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.211,60.0,410,14,3.41,2.89 (2.19-3.58),396,96.59,4.31 (4.12-4.50),17.53,7.16
GABA neurons expressing GABA receptors 13,67.0,0.189,57.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08),NA,23.87
endothelial cells 9,916.0,0.529,94.0,302,9,2.98,2.95 (1.85-4.04),293,97.02,4.02 (3.79-4.25),47.44,9.52
oligodendrocytes 20,938.0,0.14,56.0,169,15,8.88,2.82 (2.06-3.57),154,91.12,3.55 (3.33-3.78),17.92,4.14
GABA like neurons 14,2402.0,0.515,90.0,455,33,7.25,2.01 (1.54-2.47),422,92.75,4.59 (4.42-4.77),27.34,7.39
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.379,95.0,235,12,5.11,3.34 (2.71-3.97),223,94.89,3.85 (3.61-4.10),32.47,6.28
oligodendrocytes 10,483.0,0.423,92.0,129,9,6.98,3.57 (3.00-4.15),120,93.02,3.42 (2.99-3.84),60.32,16.11
connective tissue cells 21,301.0,0.414,59.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88),35.08,4.13
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.202,38.0,102,30,29.41,2.20 (1.75-2.65),72,70.59,3.96 (3.60-4.31),16.53,3.97
da neurons 6,729.0,0.204,74.0,182,16,8.79,2.77 (2.12-3.41),166,91.21,3.73 (3.47-4.00),32.30,6.23
astrocytes microglia 23,137.0,0.386,62.0,188,31,16.49,2.18 (1.73-2.64),157,83.51,4.97 (4.63-5.30),23.94,3.83
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.185,59.0,252,32,12.7,2.06 (1.58-2.55),220,87.3,4.49 (4.25-4.73),23.68,5.96
microglia 1,406.0,0.459,84.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,303.0,0.22,78.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96),67.91,8.36
oligodendrocytes 2,526.0,0.341,74.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
