tipo_celular,module_size,MTFR1_MM,MTFR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.167,56.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,518.0,0.185,69.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656.0,0.121,58.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,15,4.25,1.18 (0.69-1.66),338,95.75,4.05 (3.87-4.23),35.02,6.87
GABA neurons expressing GLU receptors 22,567.0,0.328,84.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,1316.0,0.057,4.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.119,43.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938.0,0.07,23.0,169,8,4.73,2.18 (1.28-3.08),161,95.27,3.56 (3.34-3.78),4.39,5.41
GABA like neurons 14,3052.0,0.07,5.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.069,24.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,143.0,0.03,3.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107.0,0.156,54.0,358,14,3.91,1.13 (0.62-1.64),344,96.09,4.01 (3.83-4.20),32.34,8.54
connective tissue cells 21,147.0,0.092,0.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1768.0,0.073,37.0,105,7,6.67,1.26 (0.73-1.79),98,93.33,3.36 (3.03-3.70),5.03,3.90
oligodendrocytes 16,90.0,0.12,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,49.0,0.442,94.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,1807.0,0.14,40.0,104,5,4.81,0.81 (0.23-1.40),99,95.19,2.97 (2.70-3.25),16.25,4.85
oligodendrocytes 0,2078.0,0.142,95.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,813.0,0.182,90.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681.0,0.115,68.0,87,6,6.9,1.32 (0.35-2.29),81,93.1,2.69 (2.41-2.96),6.10,4.10
oligodendrocytes 2,921.0,0.166,90.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
